字体		字形
書体		字体
右勝手		居右
字づら		字面
エレメント	部件
フトコロ	字怀
ボディ		字躯（x-height）
点画		笔画
ゴシック	黑体
明朝体		宋体
肉付け		笔画
線幅		线宽
書道		书法
大きさ      大小
字並び      字对齐
黒み        灰度
違い        差异
ゲシュタルト    完形崩溃
ウエイト    字重
1行字詰     字数
数値のワク  数值形象
タイポグラフィ  排版
タイポグラファー    排版师
グラフ      坐标
ライン      基线
デザイナー  设计师
サイズ      尺寸
骨組構成    骨架结构
基準ワク    基准框
角寸法      字身框
そろい      成套
スペース    余白
マージン    白边
サイドベアリング side bearing
リズム      规律
数量        数值（部分）
アッセンダー    ascender升部
ディッセンダー    descender降部
字配り      字配
ヘン        偏
ツクリ      旁
引込        参考
ハライ      撇捺
そりハネ    弯钩
テクスチャー 组织
